Rk,I,Team,Split,Year,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,ROE,SO,HBP,BK,WP,BF,WHIP,SO/9,SO/BB,AB,H,2B,3B,HR,SB,CS,BA,OBP,SLG,OPS,BB,SO,TB,GDP,HBP,SH,SF,IBB,BAbip,tOPS+,sOPS+
16,,DET,Home,2005,39,42,0.481,4.07,303,81,79,2,0,18,745,774,376,337,86,240,13,29,482,26,3,25,3177,1.361,5.82,2.01,2862,774,128,20,86,25,25,0.27,0.33,0.419,0.749,240,482,1200,82,26,23,26,13,0.297,96,104
17,,DET,Home,2004,38,43,0.469,4.75,303,81,79,2,2,20,745,787,419,393,95,261,18,33,502,24,3,29,3217,1.407,6.06,1.92,2881,787,142,23,95,44,27,0.273,0.336,0.437,0.773,261,502,1260,78,24,26,25,18,0.3,98,105
18,,DET,Home,2003,23,58,0.284,4.89,317,81,80,1,0,14,759,796,439,412,95,280,15,45,416,19,2,35,3290,1.418,4.93,1.49,2939,796,139,26,95,66,29,0.271,0.335,0.433,0.768,280,416,1272,78,19,23,29,15,0.285,89,107
1,,BOS,Home,2019,38,43,0.469,4.86,408,81,81,0,0,11,746,710,439,403,97,334,13,29,841,39,4,45,3260,1.399,10.15,2.52,2856,710,178,13,97,36,18,0.249,0.333,0.422,0.755,334,841,1205,53,39,9,20,13,0.316,99,103
7,,BOS,Home,2013,53,28,0.654,3.57,311,81,79,2,1,17,742,682,320,294,70,250,3,24,670,24,5,25,3113,1.256,8.13,2.68,2801,682,143,13,70,76,15,0.243,0.308,0.379,0.687,250,670,1061,58,24,8,30,3,0.293,94,95
10,,BOS,Home,2010,46,35,0.568,4.25,309,81,80,1,0,20,743,722,393,351,71,288,12,32,604,32,1,31,3199,1.359,7.32,2.1,2837,722,177,10,71,93,22,0.254,0.328,0.399,0.727,288,604,1132,65,32,18,24,12,0.298,100,106
16,,BOS,Home,2004,55,26,0.679,4.09,302,81,79,2,1,16,741,732,390,337,77,224,11,44,584,42,0,15,3177,1.29,7.09,2.61,2869,732,177,13,77,52,14,0.255,0.316,0.406,0.723,224,584,1166,53,42,21,21,11,0.294,99,92
1,,BAL,Home,2019,25,56,0.309,6.02,343,81,81,0,0,12,737,826,532,493,175,266,1,30,628,41,6,40,3279,1.482,7.67,2.36,2946,826,168,11,175,36,9,0.28,0.346,0.523,0.869,266,628,1541,79,41,3,21,1,0.301,106,130
16,,BAL,Home,2004,38,43,0.469,4.94,324,81,77,4,3,14,745,788,457,409,86,344,20,44,537,39,4,34,3347,1.519,6.49,1.56,2925,788,133,14,86,41,20,0.269,0.351,0.413,0.764,344,537,1207,68,39,14,25,20,0.302,103,104
1,,TOR,Home,2019,35,46,0.432,4.8,400,81,81,0,0,14,752,751,430,401,134,300,8,21,707,36,4,25,3267,1.398,8.46,2.36,2907,751,163,9,134,40,23,0.258,0.333,0.459,0.792,300,707,1334,61,36,6,17,8,0.296,101,112
4,,TOR,Home,2016,46,35,0.568,4.1,343,81,81,0,0,21,749,705,363,341,96,238,4,24,674,32,1,26,3147,1.259,8.1,2.83,2849,705,149,14,96,43,12,0.247,0.31,0.411,0.721,238,674,1170,68,32,3,25,4,0.289,105,98
10,,TOR,Home,2010,45,33,0.577,4.08,304,78,75,3,2,21,714,692,348,324,81,249,11,27,610,32,2,29,3035,1.318,7.69,2.45,2725,692,145,16,81,38,12,0.254,0.322,0.408,0.73,249,610,1112,81,32,9,20,11,0.297,100,106
14,,TOR,Home,2006,50,31,0.617,4.04,331,81,77,4,1,22,744,721,358,334,94,251,24,23,577,28,4,24,3161,1.306,6.98,2.3,2856,721,135,15,94,66,14,0.252,0.318,0.409,0.727,251,577,1168,58,28,13,13,24,0.285,94,93
1,,MIN,Home,2014,35,46,0.432,4.74,343,81,80,1,0,16,741,842,419,390,72,206,12,33,517,21,4,27,3229,1.414,6.28,2.51,2954,842,170,22,72,50,9,0.285,0.333,0.431,0.764,206,517,1272,66,21,18,30,12,0.322,102,122
7,,MIN,Home,2008,53,28,0.654,3.27,314,81,79,2,2,24,744,726,304,270,82,179,17,23,518,15,3,24,3065,1.216,6.27,2.89,2849,726,137,9,82,41,20,0.255,0.301,0.396,0.697,179,518,1127,69,15,11,11,17,0.285,85,90
19,,CLE,Home,2002,39,42,0.481,4.84,302,81,80,1,1,12,734,765,425,395,76,319,17,34,600,30,6,24,3223,1.477,7.36,1.88,2832,765,161,14,76,64,33,0.27,0.347,0.417,0.765,319,600,1182,72,30,15,27,17,0.316,98,109
1,,MON,Home,1994,32,20,0.615,3.97,172,52,51,1,0,18,476,475,227,210,47,131,14,26,350,17,1,12,2010,1.273,6.62,2.67,1825,475,89,14,47,45,20,0.26,0.313,0.402,0.715,131,350,733,33,17,20,17,14,0.296,109,90
2,,MON,Home,1993,55,26,0.679,3.18,269,81,76,5,0,32,751,662,315,265,50,268,17,49,463,22,6,30,3144,1.238,5.55,1.73,2796,662,159,17,50,82,24,0.237,0.307,0.359,0.666,268,463,1005,66,22,40,18,17,0.266,92,85
1,,NYM,Home,1994,23,30,0.434,4.4,174,53,52,1,0,17,489,527,271,239,60,168,26,35,302,13,3,15,2129,1.421,5.56,1.8,1907,527,98,10,60,27,22,0.276,0.336,0.433,0.768,168,302,825,40,13,21,20,26,0.298,104,105
2,,NYM,Home,1993,28,53,0.346,3.95,221,81,71,10,4,9,739,746,376,324,72,220,31,58,454,29,6,18,3153,1.307,5.53,2.06,2829,746,129,14,72,75,31,0.264,0.32,0.396,0.715,220,454,1119,56,29,43,32,31,0.289,97,98
1,,FLA,Home,1994,25,34,0.424,5.12,222,59,57,2,1,12,538.1,610,341,306,70,235,29,38,341,29,6,27,2421,1.57,5.7,1.45,2098,610,99,28,70,24,31,0.291,0.366,0.465,0.831,235,341,975,52,29,33,26,29,0.315,111,121
